count_11_00	count_11_15	count_11_60	count_12_00	count_12_15	count_12_60	count_13_00	count_13_15	count_13_60
BnaA01g02800D	3718	5193	3977	6873	6646	6327	4462	4728	3902
BnaA01g02810D	143	223	163	259	239	233	402	439	400
BnaA01g02820D	1370	2199	1536	1490	1583	1479	1850	2090	2359
BnaA01g02830D	916	1156	970	1787	1537	1470	1246	1328	1133
BnaA01g02840D	218	248	192	235	191	194	334	310	256
BnaA01g02850D	67	98	66	62	71	68	96	98	120
BnaA01g02860D	671	919	744	712	566	479	1057	937	616
BnaA01g02870D	1	0	0	0	2	3	4	5	15
BnaA01g02880D	591	811	758	1430	1274	1121	1438	1693	1163
BnaA01g02890D	1583	3172	4898	2971	3099	4288	950	1506	2920
BnaA01g02900D	2266	3198	4123	3560	3663	4437	2573	2874	4180
BnaA01g02910D	38	53	30	30	35	36	63	96	44
BnaA01g02920D	188	254	284	274	214	249	1054	1057	1020
BnaA01g02930D	552	712	601	880	725	713	3327	3000	1455
BnaA01g02940D	376	469	664	432	446	686	595	663	1119
BnaA01g02950D	2523	3112	2317	2082	2066	1782	2640	3148	2616
BnaA01g02960D	0	0	0	0	0	3	0	0	0
BnaA01g02970D	175	187	170	174	152	111	191	102	81
BnaA01g02980D	8215	10452	10782	10505	9664	9623	8393	6673	7610
BnaA01g02990D	1007	1439	799	2048	1838	1535	1978	2010	1365
BnaA01g03000D	3	2	2	4	3	4	8	11	9
BnaA01g03010D	31863	48650	33586	54898	49614	44119	24020	25932	27917
BnaA01g03020D	2939	5116	4571	1906	2156	2650	3355	4253	6135
BnaA01g03030D	6	14	10	24	27	18	10	11	10
BnaA01g03040D	104	146	89	104	147	96	121	93	63
BnaA01g03050D	9028	12655	14282	9354	9905	11095	13126	15542	20072
BnaA01g03060D	27332	38019	32677	39900	39585	41575	32985	38710	33502
BnaA01g03070D	940	1500	911	1053	954	786	1103	1295	714
BnaA01g03080D	297	471	692	755	729	1071	1114	1297	2037
BnaA01g03090D	28	39	33	16	27	32	97	94	35
BnaA01g03100D	32	33	32	15	8	11	31	49	23
BnaA01g03110D	217	329	974	280	269	614	360	524	1714
BnaA01g03120D	135	255	197	171	197	157	332	282	313
BnaA01g03130D	1135	1681	1272	1566	1576	1564	1289	1163	1183
BnaA01g03140D	4	2	4	0	1	1	4	4	2
BnaA01g03150D	579	869	558	456	462	393	1142	1107	945
BnaA01g03160D	0	0	0	0	0	0	0	0	0
BnaA01g03170D	4	13	9	17	13	13	13	20	15
BnaA01g03180D	2	10	6	19	7	5	14	13	8
BnaA01g03190D	0	0	0	0	0	0	0	0	0
BnaA01g03200D	28	17	31	2	12	4	2	11	0
BnaA01g03210D	35	57	45	66	45	55	56	82	53
BnaA01g03220D	146	211	253	201	306	356	171	165	105
BnaA01g03230D	701	908	678	813	727	647	834	758	479
BnaA01g03240D	18	15	14	8	17	5	18	18	6
BnaA01g03250D	0	1	0	0	0	0	0	1	0
BnaA01g03260D	0	0	0	0	0	0	1	0	0
BnaA01g03270D	434	581	733	650	629	848	746	768	1132
BnaA01g03280D	354	534	397	805	828	707	614	605	636
BnaA01g03290D	2	18	5	4	4	10	9	5	15
BnaA01g03300D	266	383	602	941	828	955	580	736	1806
BnaA01g03310D	33	63	54	189	159	178	106	144	107
BnaA01g03320D	2629	3833	3315	3964	4149	4215	3848	4176	4047
BnaA01g03330D	0	1	0	0	1	0	0	0	0
BnaA01g03340D	53	105	261	127	122	198	177	284	883
BnaA01g03350D	1495	2178	1626	2518	2168	2133	1978	2027	1613
BnaA01g03360D	54	45	51	78	71	72	107	134	74
BnaA01g03370D	113	149	137	57	54	57	181	199	175
BnaA01g03380D	898	1402	1347	1550	1455	1636	1361	1502	2006
BnaA01g03390D	1415	2074	1262	2137	2106	1684	1359	1490	1067
BnaA01g03400D	2987	3693	3006	3312	3155	3104	3196	3292	3088
BnaA01g03410D	45	41	94	8	24	36	63	70	176
BnaA01g03420D	150	169	160	93	80	76	115	126	151
BnaA01g03430D	396	472	423	256	197	220	458	462	409
BnaA01g03440D	418	538	433	420	356	386	560	608	602
BnaA01g03450D	248	303	275	278	230	276	349	435	374
BnaA01g03460D	36	35	49	34	42	48	40	71	46
BnaA01g03470D	10	32	55	61	48	100	58	57	168
BnaA01g03480D	96	90	89	56	58	131	132	138	248
BnaA01g03490D	0	0	0	4	0	0	3	0	0
BnaA01g03500D	1894	2589	3084	3383	3146	3243	4060	4631	4086
BnaA01g03510D	8964	11885	9504	7447	7274	7272	13468	15352	12442
BnaA01g03520D	3	7	14	6	10	8	8	6	3
BnaA01g03530D	618	806	555	734	651	617	934	1036	729
BnaA01g03540D	53	74	35	79	85	52	105	121	57
BnaA01g03550D	357	521	365	507	460	459	755	802	568
BnaA01g03560D	386	514	273	400	348	272	494	511	365
BnaA01g03570D	0	0	0	0	2	0	2	1	0
BnaA01g03580D	23	31	29	15	19	18	0	3	0
BnaA01g03590D	154	181	138	226	229	207	196	239	151
BnaA01g03600D	466	689	490	488	370	404	692	600	613
BnaA01g03610D	6785	9928	10253	7768	8092	10287	5349	6836	8341
BnaA01g03620D	0	0	0	1	0	0	0	0	5
BnaA01g03630D	1714	2325	2626	1419	1341	1795	2752	2982	3114
BnaA01g03640D	4861	6218	4524	4533	4546	4229	4660	5342	3939
BnaA01g03650D	1114	1603	1321	1059	1071	955	1268	1562	1077
BnaA01g03660D	140	234	156	221	281	197	207	233	171
BnaA01g03670D	115	144	90	161	153	93	232	161	152
BnaA01g03680D	1153	1552	1392	1175	1103	1213	2111	2348	2074
BnaA01g03690D	0	0	0	0	0	0	0	1	0
BnaA01g03700D	0	0	0	0	0	0	0	0	0
BnaA01g03710D	0	0	0	0	0	0	0	0	0
BnaA01g03720D	0	1	1	0	0	1	1	0	1
BnaA01g03730D	370	455	288	440	494	373	495	521	288
BnaA01g03740D	1	2	2	3	1	4	15	1	6
BnaA01g03750D	0	0	0	0	0	0	0	0	0
BnaA01g03760D	0	0	0	0	0	0	0	0	0
BnaA01g03770D	0	0	0	0	0	1	0	1	1
BnaA01g03780D	48	73	64	30	69	48	101	75	67
BnaA01g03790D	3579	4699	5043	3784	3461	4451	4510	4982	5155
BnaA01g03800D	1332	2109	2867	1606	1670	2980	1817	2338	4545
BnaA01g03810D	2134	2989	2371	2713	2661	2407	2667	2760	2247
BnaA01g03820D	1284	1880	783	312	260	107	3443	2444	1888
BnaA01g03830D	25	51	28	12	10	9	24	19	15
BnaA01g03840D	345	545	420	390	358	403	1403	1287	1205
BnaA01g03850D	2	3	0	2	1	1	10	2	0
BnaA01g03860D	4077	5548	4749	6024	5724	6126	8141	9046	8879
BnaA01g03870D	0	1	2	0	0	0	0	0	0
BnaA01g03880D	268	309	214	382	358	276	442	464	344
BnaA01g03890D	0	0	0	0	0	0	0	0	0
BnaA01g03900D	0	0	0	0	0	0	0	0	0
BnaA01g03910D	0	0	0	0	0	0	0	0	0
BnaA01g03920D	0	0	0	0	0	0	1	0	0
BnaA01g03930D	0	0	0	0	0	0	0	0	0
BnaA01g03940D	0	0	0	0	0	0	0	0	0
BnaA01g03950D	0	0	0	0	0	0	0	0	0
BnaA01g03960D	83	99	89	53	69	41	126	103	38
BnaA01g03970D	0	0	0	0	0	0	0	0	0
BnaA01g03980D	0	0	0	0	0	0	0	0	0
BnaA01g03990D	0	0	0	0	0	0	0	0	0
BnaA01g04000D	2105	2568	2559	2262	2218	2464	2184	2497	2649
BnaA01g04010D	142	215	146	146	102	105	159	157	177
BnaA01g04020D	3307	4734	7256	4852	5190	7764	3329	4045	6465
BnaA01g04030D	1515	2044	1557	1097	1080	1028	1767	1731	1249
BnaA01g04040D	232	353	244	280	222	230	312	282	296
BnaA01g04050D	12	16	22	27	26	25	30	35	40
BnaA01g04060D	0	0	0	0	0	0	0	0	0
BnaA01g04070D	70	101	80	77	43	50	88	79	39
BnaA01g04080D	3	2	4	6	6	6	1	2	1
BnaA01g04090D	1	1	0	0	0	0	0	0	0
BnaA01g04100D	9739	11857	9853	14875	13860	13368	12113	12145	8909
BnaA01g04110D	296	488	438	717	591	680	864	1037	711
BnaA01g04120D	45	34	35	89	56	88	92	58	52
BnaA01g04130D	862	1258	839	725	623	674	1404	1653	980
BnaA01g04140D	0	1	0	0	0	0	0	3	0
BnaA01g04150D	48	53	71	66	69	72	43	54	53
BnaA01g04160D	4	11	9	12	7	7	9	19	15
BnaA01g04170D	12	15	17	17	19	16	13	18	8
BnaA01g04180D	0	0	0	1	1	0	4	3	0
BnaA01g04190D	0	0	0	0	0	1	0	1	0
BnaA01g04200D	4607	6804	5469	6768	6552	6536	5423	5905	5201
BnaA01g04210D	0	4	5	13	3	12	3	9	5
BnaA01g04220D	29	35	15	26	18	17	28	55	24
BnaA01g04230D	0	0	0	0	2	6	0	0	0
BnaA01g04240D	0	0	0	0	0	0	0	0	0
BnaA01g04250D	0	0	0	0	0	0	0	0	0
BnaA01g04260D	0	0	0	0	0	0	0	0	0
BnaA01g04270D	7	10	1	14	3	9	12	16	6
BnaA01g04280D	10	6	1	2	3	6	10	11	11
BnaA01g04290D	238	379	165	264	257	215	334	376	162
BnaA01g04300D	119	174	100	244	222	186	137	126	90
BnaA01g04310D	627	897	562	861	807	679	796	732	660
BnaA01g04320D	116	178	124	111	83	111	84	132	121
BnaA01g04330D	27	48	36	57	48	53	53	63	32
BnaA01g04340D	1389	1815	1399	1571	1358	1212	2579	2442	1822
BnaA01g04350D	0	2	0	1	0	0	1	1	1
BnaA01g04360D	6053	8084	6053	5413	5504	5496	7356	8513	5779
BnaA01g04370D	25	41	53	79	69	66	45	43	37
BnaA01g04380D	675	1073	587	970	844	673	1104	1050	738
BnaA01g04390D	1547	2470	1617	2070	2009	1653	1839	2498	1904
BnaA01g04400D	2	13	11	42	50	77	38	31	20
BnaA01g04410D	5	2	2	5	0	0	4	3	5
BnaA01g04420D	1755	2683	2294	2754	2777	2643	2490	2721	2403
BnaA01g04430D	796	1184	951	1333	1272	1268	1096	1202	950
BnaA01g04440D	2037	2986	1990	4228	3749	3084	3052	3400	3002
BnaA01g04450D	640	882	533	647	627	530	708	670	484
BnaA01g04460D	11	27	14	11	7	11	24	15	18
BnaA01g04470D	128	179	86	131	86	70	109	125	95
BnaA01g04480D	2262	2679	1988	2189	1942	1708	2395	2550	1811
BnaA01g04490D	0	1	0	0	0	0	0	0	0
BnaA01g04500D	0	0	0	0	0	0	0	0	0
BnaA01g04510D	1920	2607	2178	2691	2499	2535	2822	2673	2105
BnaA01g04520D	1291	1933	1201	1120	1133	950	1335	1466	1122
BnaA01g04530D	686	1104	879	715	783	703	1537	1812	1679
